"exped","ubic","numextubi","numintubi","colubi"
"1010007","RIO GUADALQUIVIR PTE 343 DEL VALLE","","",""
"1010008","RIO GUADALQUIVIR PTE","315","","DEL VALLE"
"1010009","RIO MISSOURI","300","","DEL VALLE"
"1010010","RIO MISSOURI PTE","320","","DEL VALLE"
"1010011","RIO MISSOURI PTE","318","","DEL VALLE"
"1010012","RIO GUADALQUIVIR PTE 325","","","DEL VALLE"
"1010013","RIO MISSOURI PTE","316","","DEL VALLE"
"1010014","RIO MISSOURI PTE 306","","","DEL VALLE"
"1010015","RIO GUADALQUIVIR PTE","311","","DEL VALLE"
"1010016","RIO MISSOURI PTE","310","","DEL VALLE"
"1010017","RIO GUADALQUIVIR PTE 301 DEL VALLE","","",""
"1010018","RIO GUADALQUIVIR","","",""
"1010019","RIO MISSOURI","320","A","DEL VALLE"
"1011001","RIO GUADALQUIVIR PTE","221","","DEL VALLE"
"1011002","RIO GUADALQUIVIR PTE 219","","","DEL VALLE"
"1011003","RIO GUADALQUIVIR","217","","DEL VALLE"
"1011004","RIO MISSOURI PTE 222","","","DEL VALLE"
"1011005","RIO MISSOURI","220","","DEL VALLE"
"1011006","RIO MISSOURI","218","","DEL VALLE"
"1011007","RIO MISSOURI PTE 216 DEL VALLE","","",""
"1011008","RIO MISSOURI","212","","DEL VALLE"
"1011009","RIO GUADALQUIVIR","205","","DEL VALLE"
"1011010","RIO GUADALQUIVIR","203","","DEL VALLE"
"1011011","RIO MISSOURI PTE 026 DEL VALLE","","",""
"1011012","RIO GUADALQUIVIR PTE","201","","DEL VALLE"
"1011013","RIO GUADALQUIVIR PTE 209","","","DEL VALLE"
"1011014","RIO GUADALQUIVIR 207","","",""
"1011015","RIO MISSOURI 208 Y 210 DEL VALLE","","",""
"1011016","RIO MISSOURI PTE","204","","DEL VALLE"
"1011017","RIO BALSAS NTE 620","","","DEL VALLE"
"1011018","RIO MISSOURI PTE 202","","","DEL VALLE"
"1011019","RIO MISSOURI","224","","DEL VALLE"
"1011020","RIO SUCHIATE","226","","DEL VALLE"
"1011021","RIO GUADALQUIVIR 211 DEL VALLE","","",""
"1011022","RIO GUADALQUIVIR","215","","DEL VALLE"
"1011023","R GUADALQUIVIR 221","","","DEL VALLE"
"1011024","RIO GUADALQUIVIR","213","","DEL VALLE"
"1011026","RIO MISSOURI","200-A","","DEL VALLE"
"1012001","RIO GUADALQUIVIR","135","","DEL VALLE"
"1012003","RIO GUADALQUIVIR PTE","133","","DEL VALLE"
"1012004","RIO MISSOURI","116","","DEL VALLE"
"1012007","RIO GUADALQUIVIR 109","","",""
"1012008","GUADALQUIVIR PTE","115","","DEL VALLE"
"1012009","RIO MISSOURI PTE","110","","DEL VALLE"
"1012010","RIO GUADALQUIVIR PTE","107","","DEL VALLE"
"1012011","RIO MISSOURI 108","","","DEL VALLE"
"1012013","RIO MISSOURI PTE","106","","DEL VALLE"
"1012014","RIO GUADALQUIVIR 103","","","DEL VALLE"
"1012015","RIO MISSOURI","102","","DEL VALLE"
"1012016","RIO MISSOURI","120","","DEL VALLE"
"1012017","RIO GUADALQUIVIR 113","","","VALLE"
"1012018","RIO MISSOURI PTE 112","","","DEL VALLE"
"1012019","RIO GUADALQUIVIR","L019 M012","","DEL VALLE"
"1012020","RIO GUADALQUIVIR PTE","101","","DEL VALLE"
"1012023","RIO GUADALQUIVIR","117","","DEL VALLE"
"1012025","RIO MISSOURI PTE 112 A","","","DEL VALLE"
"1012026","GUAYALEJO Y MISSOURI","620","","DEL VALLE"
"1012027","RIO GUAYALEJO 610","","","DEL VALLE"
"1012028","GUADALQUIVIR","111","","DEL VALLE"
"1012029","RIO MISSOURI PTE","S/N","","DEL VALLE"
"1013001","RIO GUADALQUIVIR","55","","DEL VALLE"
"1013002","RIO MISSOURI","30","","DEL VALLE"
"1013003","RIO GUADALQUIVIR","23","","DEL VALLE"
"1013004","RIO MISSOURI PTE 23","","","DEL VALLE"
"1013005","RIO GUADALQUIVIR","19","","DEL VALLE"
"1013006","CALZ SAN PEDRO","420","",""
"1013009","RIO MISSOURI 20","","","DEL VALLE"
"1013010","RIO GUAYALEJO NTE 607","","","DEL VALLE"
"1014001","AVE SAN PEDRO","13","","DEL VALLE"
"1014002","SAN PEDRO","401","","DEL VALLE"
"1014003","RIO GUADALQUIVIR","17","","DEL VALLE"
"1014007","RIO GUADALQUIVIR OTE","21","","DEL VALLE"
"1014008","RIO MISSOURI OTE","24","","DEL VALLE"
"1014010","RIO MISSOURI OTE","12","","DEL VALLE"
"1014011","RIO GUADALQUIVIR","25","","DEL VALLE"
"1014012","RIO MISSOURI OTE","24","","DEL VALLE"
"1014101","RIO MISSOURI 8 LOCAL 1","","","DEL VALLE"
"1014102","RIO MISSOURI 8 LOCAL 2","","","DEL VALLE"
"1014103","RIO MISSOURI 8 LOCAL 3","","","DEL VALLE"
"1014104","RIO MISSOURI 8 LOCAL 4","","","DEL VALLE"
"1014105","RIO MISSOURI 8 LOCAL 5","","","DEL VALLE"
"1014106","RIO MISSOURI 8 LOCAL 6","","","DEL VALLE"
"1015001","RIO GUADALQUIVIR","101","","DEL VALLE"
"1015002","RIO MISSOURI","102","","DEL VALLE"
"1015003","RIO GUADALQUIVIR OTE","103","","DEL VALLE"
"1015004","RIO MISSOURI OTE","L4 M15","","DEL VALLE"
"1015005","R GUADALQUIVIR OTE","103","B","DEL VALLE"
"1015006","RIO MISSOURI OTE","106","","DEL VALLE"
"1015007","RIO GUADALQUIVIR","105","","DEL VALLE"
"1015008","RIO GUADALQUIVIR","111","","DEL VALLE"
"1015009","RIO GUADALQUIVIR OTE","113","","DEL VALLE"
"1015010","RIO GUADALQUIVIR","115","","DEL VALLE"
"1015011","RIO MISSOURI","112","","VALLE"
"1015012","RIO GUADALQUIVIR OTE","119","","DEL VALLE"
"1015013","RIO MISSOURI","114","","DEL VALLE"
"1015014","RIO GUADALQUIVIR","121","","DEL VALLE"
"1015015","RIO MISSOURI OTE","116","","DEL VALLE"
"1015016","RIO GUADALQUIVIR OTE","125","","DEL VALLE"
"1015017","MISSOURRI OTE 120","","",""
"1015018","RIO GUADALQUIVIR","127","","DEL VALLE"
"1015019","RIO MISSOURI","122","","DEL VALLE"
"1015020","RIO GUADALQUIVIR OTE","L20 M15","","DEL VALLE"
"1015021","RIO MISSOURI OTE","130","","DEL VALLE"
"1015023","RIO MISSOURI","108","","DEL VALLE"
"1015024","RIO GUADALQUIVIR","123","","DEL VALLE"
"1015026","RIO GUADALQUIVIR OTE","135","","DEL VALLE"
"1015027","RIO MISSOURI","110","","VALLE"
"1015028","RIO GUADALQUIVIR","107","","DEL VALLE"
"1015029","RIO MISSOURI OTE","118","","DEL VALLE"
"1015030","RIO GUADALQUIVIR","115A","","DEL VALLE"
"1015101","MISSOURI 132 DEP-1","","","DEL VALLE"
"1015102","MISSOURI","132","DPTO 2","DEL VALLE"
"1015103","MISSOURI 132 DEPTO 3 EDIF 132","","","DEL VALLE"
"1015104","MISSOURI","132","DEPTO 4","DEL VALLE"
"1016001","RIO PANUCO 201","","",""
"1016002","RIO SAN LORENZO","210","","DEL VALLE"
"1016003","RIO SAN LORENZO OTE","212","","DEL VALLE"
"1016004","RIO PANUCO","207","","DEL VALLE"
"1016005","RIO SN LORENZO","220","","DEL VALLE"
"1016006","RIO PANUCO OTE","209","",""
"1016007","RIO SAN LORENZO","224","","DEL VALLE"
"1016008","RIO PANUCO","215","","DEL VALLE"
