"exped","ubic","numextubi","numintubi","colubi"
"13209447","AV ALFONSO REYES","235","CAJON 144","BOSQUES DEL VALLE"
"13209448","AV ALFONSO REYES","235","CAJON 145","BOSQUES DEL VALLE"
"13209449","AV ALFONSO REYES","235","CAJON 146","BOSQUES DEL VALLE"
"13209450","AV ALFONSO REYES","235","CAJON 147","BOSQUES DEL VALLE"
"13209451","AV ALFONSO REYES","235","CAJON 148","BOSQUES DEL VALLE"
"13209452","AV ALFONSO REYES","235","CAJON 149","BOSQUES DEL VALLE"
"13209453","AV ALFONSO REYES","235","CAJON 150","BOSQUES DEL VALLE"
"13209454","AV ALFONSO REYES","235","CAJON 151","BOSQUES DEL VALLE"
"13209455","AV ALFONSO REYES","235","CAJON 152","BOSQUES DEL VALLE"
"13209456","AV ALFONSO REYES","235","CAJON 153","BOSQUES DEL VALLE"
"13209457","AV ALFONSO REYES","235","CAJON 154","BOSQUES DEL VALLE"
"13209458","AV ALFONSO REYES","235","CAJON 155","BOSQUES DEL VALLE"
"13209459","AV ALFONSO REYES","235","CAJON 156","BOSQUES DEL VALLE"
"13209460","AV ALFONSO REYES","235","CAJON 157","BOSQUES DEL VALLE"
"13209461","AV ALFONSO REYES","235","CAJON 158","BOSQUES DEL VALLE"
"13209462","AV ALFONSO REYES","235","CAJON 159","BOSQUES DEL VALLE"
"13209463","AV ALFONSO REYES","235","CAJON 160","BOSQUES DEL VALLE"
"13209464","AV ALFONSO REYES","235","CAJON 161","BOSQUES DEL VALLE"
"13209465","AV ALFONSO REYES","235","CAJON 162","BOSQUES DEL VALLE"
"13209466","AV ALFONSO REYES","235","CAJON 163","BOSQUES DEL VALLE"
"13209467","AV ALFONSO REYES","235","CAJON 164","BOSQUES DEL VALLE"
"13209468","AV ALFONSO REYES","235","CAJON 165","BOSQUES DEL VALLE"
"13209469","AV ALFONSO REYES","235","CAJON 166","BOSQUES DEL VALLE"
"13209470","AV ALFONSO REYES","235","CAJON 167","BOSQUES DEL VALLE"
"13209471","AV ALFONSO REYES","235","CAJON 168","BOSQUES DEL VALLE"
"13209472","AV ALFONSO REYES","235","CAJON 331","BOSQUES DEL VALLE"
"13209473","AV ALFONSO REYES","235","CAJON 169","BOSQUES DEL VALLE"
"13209474","AV ALFONSO REYES","235","CAJON 170","BOSQUES DEL VALLE"
"13209475","AV ALFONSO REYES","235","CAJON 171","BOSQUES DEL VALLE"
"13209476","AV ALFONSO REYES","235","CAJON 172","BOSQUES DEL VALLE"
"13209477","AV ALFONSO REYES","235","CAJON 173","BOSQUES DEL VALLE"
"13209478","AV ALFONSO REYES","235","CAJON 175","BOSQUES DEL VALLE"
"13209479","AV ALFONSO REYES","235","CAJON 181","BOSQUES DEL VALLE"
"13209480","AV ALFONSO REYES","235","CAJON 182","BOSQUES DEL VALLE"
"13209481","AV ALFONSO REYES","235","CAJON 183","BOSQUES DEL VALLE"
"13209482","AV ALFONSO REYES","235","CAJON 184","BOSQUES DEL VALLE"
"13209483","AV ALFONSO REYES","235","CAJON 185","BOSQUES DEL VALLE"
"13209484","AV ALFONSO REYES","235","CAJON 186","BOSQUES DEL VALLE"
"13209485","AV ALFONSO REYES","235","CAJON 187","BOSQUES DEL VALLE"
"13209486","AV ALFONSO REYES","235","CAJON 188","BOSQUES DEL VALLE"
"13209487","AV ALFONSO REYES","235","CAJON 189","BOSQUES DEL VALLE"
"13209488","AV ALFONSO REYES","235","CAJON 190","BOSQUES DEL VALLE"
"13209489","AV ALFONSO REYES","235","CAJON 191","BOSQUES DEL VALLE"
"13209490","AV ALFONSO REYES","235","CAJON 196","BOSQUES DEL VALLE"
"13209491","AV ALFONSO REYES","235","CAJON 197","BOSQUES DEL VALLE"
"13209492","AV ALFONSO REYES","235","CAJON 198","BOSQUES DEL VALLE"
"13209493","AV ALFONSO REYES","235","CAJON 199","BOSQUES DEL VALLE"
"13209494","AV ALFONSO REYES","235","CAJON 200","BOSQUES DEL VALLE"
"13209495","AV ALFONSO REYES","235","CAJON 201","BOSQUES DEL VALLE"
"13209496","AV ALFONSO REYES","235","CAJON 202","BOSQUES DEL VALLE"
"13209497","AV ALFONSO REYES","235","CAJON 209","BOSQUES DEL VALLE"
"13209498","AV ALFONSO REYES","235","CAJON 210","BOSQUES DEL VALLE"
"13209499","AV ALFONSO REYES","235","CAJON 211","BOSQUES DEL VALLE"
"13209500","AV ALFONSO REYES","235","CAJON 212","BOSQUES DEL VALLE"
"13209501","AV ALFONSO REYES","235","CAJON 213","BOSQUES DEL VALLE"
"13209502","AV ALFONSO REYES","235","CAJON 214","BOSQUES DEL VALLE"
"13209503","AV ALFONSO REYES","235","CAJON 215","BOSQUES DEL VALLE"
"13209504","AV ALFONSO REYES","235","CAJON 216","BOSQUES DEL VALLE"
"13209505","AV ALFONSO REYES","235","CAJON 224","BOSQUES DEL VALLE"
"13209506","AV ALFONSO REYES","235","CAJON 225","BOSQUES DEL VALLE"
"13209507","AV ALFONSO REYES","235","CAJON 226","BOSQUES DEL VALLE"
"13209508","AV ALFONSO REYES","235","CAJON 227","BOSQUES DEL VALLE"
"13209509","AV ALFONSO REYES","235","CAJON 228","BOSQUES DEL VALLE"
"13209510","AV ALFONSO REYES","235","CAJON 229","BOSQUES DEL VALLE"
"13209511","AV ALFONSO REYES","235","CAJON 230","BOSQUES DEL VALLE"
"13209512","AV ALFONSO REYES","235","CAJON 231","BOSQUES DEL VALLE"
"13209513","AV ALFONSO REYES","235","CAJON 232","BOSQUES DEL VALLE"
"13209514","AV ALFONSO REYES","235","CAJON 233","BOSQUES DEL VALLE"
"13209515","AV ALFONSO REYES","235","CAJON 234","BOSQUES DEL VALLE"
"13209516","AV ALFONSO REYES","235","CAJON 235","BOSQUES DEL VALLE"
"13209517","AV ALFONSO REYES","235","CAJON 236","BOSQUES DEL VALLE"
"13209518","AV ALFONSO REYES","235","CAJON 237","BOSQUES DEL VALLE"
"13209519","AV ALFONSO REYES","235","CAJON 238","BOSQUES DEL VALLE"
"13209520","AV ALFONSO REYES","235","CAJON 239","BOSQUES DEL VALLE"
"13209521","AV ALFONSO REYES","235","CAJON 240","BOSQUES DEL VALLE"
"13209522","AV ALFONSO REYES","235","CAJON 241","BOSQUES DEL VALLE"
"13209523","AV ALFONSO REYES","235","CAJON 242","BOSQUES DEL VALLE"
"13209524","AV ALFONSO REYES","235","CAJON 243","BOSQUES DEL VALLE"
"13209525","AV ALFONSO REYES","235","CAJON 244","BOSQUES DEL VALLE"
"13209526","AV ALFONSO REYES","235","CAJON 245","BOSQUES DEL VALLE"
"13209527","AV ALFONSO REYES","235","CAJON 246","BOSQUES DEL VALLE"
"13209528","AV ALFONSO REYES","235","CAJON 247","BOSQUES DEL VALLE"
"13209529","AV ALFONSO REYES","235","CAJON 248","BOSQUES DEL VALLE"
"13209530","AV ALFONSO REYES","235","CAJON 249","BOSQUES DEL VALLE"
"13209531","AV ALFONSO REYES","235","CAJON 251","BOSQUES DEL VALLE"
"13209532","AV ALFONSO REYES","235","CAJON 252","BOSQUES DEL VALLE"
"13209533","AV ALFONSO REYES","235","CAJON 253","BOSQUES DEL VALLE"
"13209534","AV ALFONSO REYES","235","CAJON 254","BOSQUES DEL VALLE"
"13209535","AV ALFONSO REYES","235","CAJON 255","BOSQUES DEL VALLE"
"13209536","AV ALFONSO REYES","235","CAJON 259","BOSQUES DEL VALLE"
"13209537","AV ALFONSO REYES","235","CAJON 260","BOSQUES DEL VALLE"
"13209538","AV ALFONSO REYES","235","CAJON 261","BOSQUES DEL VALLE"
"13209539","AV ALFONSO REYES","235","CAJON 262","BOSQUES DEL VALLE"
"13209540","AV ALFONSO REYES","235","CAJON 263","BOSQUES DEL VALLE"
"13209541","AV ALFONSO REYES","235","CAJON 264","BOSQUES DEL VALLE"
"13209542","AV ALFONSO REYES","235","CAJON 266","BOSQUES DEL VALLE"
"13209543","AV ALFONSO REYES","235","CAJON 267","BOSQUES DEL VALLE"
"13209544","AV ALFONSO REYES","235","CAJON 268","BOSQUES DEL VALLE"
"13209545","AV ALFONSO REYES","235","CAJON 269","BOSQUES DEL VALLE"
"13209546","AV ALFONSO REYES","235","CAJON 270","BOSQUES DEL VALLE"
"13209547","AV ALFONSO REYES","235","CAJON 271","BOSQUES DEL VALLE"
"13209548","AV ALFONSO REYES","235","CAJON 272","BOSQUES DEL VALLE"
"13209549","AV ALFONSO REYES","235","CAJON 273","BOSQUES DEL VALLE"
"13209550","AV ALFONSO REYES","235","CAJON 274","BOSQUES DEL VALLE"
"13209551","AV ALFONSO REYES","235","CAJON 275","BOSQUES DEL VALLE"
"13209552","AV ALFONSO REYES","235","CAJON 276","BOSQUES DEL VALLE"
"13209553","AV ALFONSO REYES","235","CAJON 277","BOSQUES DEL VALLE"
"13209554","AV ALFONSO REYES","235","CAJON 278","BOSQUES DEL VALLE"
"13209555","AV ALFONSO REYES","235","CAJON 279","BOSQUES DEL VALLE"
"13209556","AV ALFONSO REYES","235","CAJON 280","BOSQUES DEL VALLE"
"13209557","AV ALFONSO REYES","235","CAJON 281","BOSQUES DEL VALLE"
"13209558","AV ALFONSO REYES","235","CAJON 282","BOSQUES DEL VALLE"
"13209559","AV ALFONSO REYES","235","CAJON 283","BOSQUES DEL VALLE"
"13209560","AV ALFONSO REYES","235","CAJON 284","BOSQUES DEL VALLE"
"13209561","AV ALFONSO REYES","235","CAJON 285","BOSQUES DEL VALLE"
"13209562","AV ALFONSO REYES","235","CAJON 286","BOSQUES DEL VALLE"
"13209563","AV ALFONSO REYES","235","CAJON 287","BOSQUES DEL VALLE"
"13209564","AV ALFONSO REYES","235","CAJON 288","BOSQUES DEL VALLE"
"13209565","AV ALFONSO REYES","235","CAJON 289","BOSQUES DEL VALLE"
"13209566","AV ALFONSO REYES","235","CAJON 290","BOSQUES DEL VALLE"
"13209567","AV ALFONSO REYES","235","CAJON 291","BOSQUES DEL VALLE"
"13209568","AV ALFONSO REYES","235","CAJON 292","BOSQUES DEL VALLE"
"13209569","AV ALFONSO REYES","235","CAJON 293","BOSQUES DEL VALLE"
"13209570","AV ALFONSO REYES","235","CAJON 294","BOSQUES DEL VALLE"
"13209571","AV ALFONSO REYES","235","CAJON 295","BOSQUES DEL VALLE"
"13209572","AV ALFONSO REYES","235","CAJON 296","BOSQUES DEL VALLE"
"13209573","AV ALFONSO REYES","235","CAJON 297","BOSQUES DEL VALLE"
"13209574","AV ALFONSO REYES","235","CAJON 298","BOSQUES DEL VALLE"
"13209575","AV ALFONSO REYES","235","CAJON 299","BOSQUES DEL VALLE"
"13209576","AV ALFONSO REYES","235","CAJON 300","BOSQUES DEL VALLE"
"13209577","AV ALFONSO REYES","235","CAJON 301","BOSQUES DEL VALLE"
"13209578","AV ALFONSO REYES","235","CAJON 302","BOSQUES DEL VALLE"
"13209579","AV ALFONSO REYES","235","CAJON 303","BOSQUES DEL VALLE"
"13209580","AV ALFONSO REYES","235","CAJON 304","BOSQUES DEL VALLE"
"13209581","AV ALFONSO REYES","235","CAJON 305","BOSQUES DEL VALLE"
"13209582","AV ALFONSO REYES","235","CAJON 306","BOSQUES DEL VALLE"
"13209583","AV ALFONSO REYES","235","CAJON 307","BOSQUES DEL VALLE"
"13209584","AV ALFONSO REYES","235","CAJON 308","BOSQUES DEL VALLE"
"13209585","AV ALFONSO REYES","235","CAJON 309","BOSQUES DEL VALLE"
"13209586","AV ALFONSO REYES","235","CAJON 310","BOSQUES DEL VALLE"
"13209587","AV ALFONSO REYES","235","CAJON 311","BOSQUES DEL VALLE"
"13209588","AV ALFONSO REYES","235","CAJON 312","BOSQUES DEL VALLE"
"13209589","AV ALFONSO REYES","235","CAJON 313","BOSQUES DEL VALLE"
"13209590","AV ALFONSO REYES","235","CAJON 314","BOSQUES DEL VALLE"
"13209591","AV ALFONSO REYES","235","CAJON 315","BOSQUES DEL VALLE"
"13209592","AV ALFONSO REYES","235","CAJON 316","BOSQUES DEL VALLE"
"13209593","AV ALFONSO REYES","235","CAJON 317","BOSQUES DEL VALLE"
"13209594","AV ALFONSO REYES","235","CAJON 318","BOSQUES DEL VALLE"
"13209595","AV ALFONSO REYES","235","CAJON 319","BOSQUES DEL VALLE"
"13209596","AV ALFONSO REYES","235","CAJON 320","BOSQUES DEL VALLE"
"13209597","AV ALFONSO REYES","235","CAJON 321","BOSQUES DEL VALLE"
"13209598","AV ALFONSO REYES","235","CAJON 322","BOSQUES DEL VALLE"
"13209599","AV ALFONSO REYES","235","CAJON 323","BOSQUES DEL VALLE"
"13209600","AV ALFONSO REYES","235","CAJON 324","BOSQUES DEL VALLE"
"13209601","AV ALFONSO REYES","235","CAJON 325","BOSQUES DEL VALLE"
"13209602","AV ALFONSO REYES","235","CAJON 326","BOSQUES DEL VALLE"
"13209603","AV ALFONSO REYES","235","CAJON 327","BOSQUES DEL VALLE"
"13209604","AV ALFONSO REYES","235","CAJON 328","BOSQUES DEL VALLE"
"13209605","AV ALFONSO REYES","235","CAJON 329","BOSQUES DEL VALLE"
"13209606","AV ALFONSO REYES","235","CAJON 330","BOSQUES DEL VALLE"
"13210001","BOSQUES DE CATEMACO","342","","BOSQUES DEL VALLE"
"13210002","BOSQUES DE CATEMACO","338","","BOSQUES DEL VALLE"
"13210003","BOSQUES DE CATEMACO","318","","BOSQUES DEL VALLE"
"13210004","BOSQUES DE CATEMACO","316","","BOSQUES DEL VALLE"
"13210005","B DE CATEMACO","314","",""
"13210006","B DE CATEMACO","312","","BOSQUES DEL VALLE"
"13210007","B DE CATEMACO 310 B DEL VAL","","",""
"13210008","B DE CATEMACO","308","","BOSQUES DEL VALLE"
"13210009","B DE CATEMACO 306","","","BOSQUES DEL VALLE"
"13210010","B DE CATEMACO","304","","BOSQUES DEL VALLE"
"13210011","AVE BOSQ DEL VALLE 701","","","BOSQUES DEL VALLE"
"13210012","AV BOSQUES DEL VALLE","703","","BOSQUES DEL VALLE"
"13210013","BOSQUES DEL VALLE 706","","","BOSQUES DEL VALLE"
"13210014","BOSQUES DEL VALLE","707","","BOSQUES DEL VALLE"
"13210015","AV BOSQUES DEL VALLE","707","","BOSQUES DEL VALLE"
"13210016","AVE B DEL VALLE","711","","BOSQUES DEL VALLE"
"13210017","AVE B DEL VALLE M 210 L 17","","",""
"13210018","AV BOSQUES DEL VALLE","715","","BOSQUES DEL VALLE"
"13210019","AV BOSQUES DEL VALLE","719","","BOSQUES DEL VALLE"
"13210021","BOSQUES DE HIMALAYA","303","","BOSQUES DEL VALLE"
"13210022","B DEL HIMALAYA M 210 L 22","","","BOSQUES DEL VALLE"
"13210023","B DE HIMALAYA","307","","B DEL VALLE"
"13210024","BOSQUES DE HIMALAYA","302","","BOSQUES DEL VALLE"
"13210025","B DEL HIMALAYA","311","",""
"13210026","BOSQUE DE HIMALAYA","313","","BOSQUES DEL VALLE"
"13210027","BOSQUE DE HIMALAYA","315","","BOSQUES DEL VALLE"
"13210028","B DE HIMALAYA","317","","BOSQUES DEL VALLE"
"13210029","B DE HIMALAYA M 210 L 29","","",""
"13210030","BOSQUES DE VIENA","712","","BOSQUES DEL VALLE"
"13210031","B NORDICOS","","",""
"13210032","BOSUQES NORDICOS","342","","BOSQUES DEL VALLE"
"13210033","B NORDICOS","340","","B VALLE"
"13210034","BOSQUES NORDICOS","","","BOSQUES DEL VALLE"
"13210035","BOSQUES NORDICOS 336","","","BOSQUES DEL VALLE"
"13210036","B NORDICOS 334","","","BOSQUES DEL VALLE"
"13210037","BOSQUE NORDICOS 332","","","BOSQUES DEL VALLE"
"13210038","B NORDICOS","M210 L38","",""
"13210039","B NORDICOS M 210 L 39","","","BOSQUES DEL VALLE"
"13210040","B NORDICOS M 210 L 40 B VAL","","",""
"13210041","BOSQUES NORDICOS NTE","322","","BOSQUES DEL VALLE"
"13210042","BOSQUES NORDICOS","320","","BOSQUES DEL VALLE"
"13210043","BOSQUES NORDICOS 318","","","VALLE"
"13210044","B NORDICOS 316","","","BOSQUES DEL VALLE"
"13210045","BOSQUES NORDICOS 314","","","BOSQUES DEL VALLE"
"13210046","BOSQUES NORDICOS 317","","","BOSQUES DEL VALLE"
"13210047","BOSQUES NORDICOS 315","","","BOSQUES DEL VALLE"
"13210048","B NORDICOS","31","","BOSQUES DEL VALLE"
"13210049","B NORDICOS","307","","BOSQUES DEL VALLE"
"13210050","B NORDICOS","305","","BOSQUES DEL VALLE"
"13210051","BOSQUES NORDICOS","S/N","","BOSQUES DEL VALLE 5ø"
"13210052","BOSQUES NORDICOS","S/N","","BOSQUES DEL VALLE"
"13210053","BOSQUES NORDICOS 303","","","BOSQUES DEL VALLE"
"13210054","B DE VIENA 704 B DEL VALLE","","",""
"13210055","BOSQUES DE CATEMACO","302","A","BOSQUES DEL VALLE"
"13211001","B NORDICOS 1012 B VALLE","","",""
"13211002","B NORDICOS 304","","","BOSQUES DEL VALLE"
"13211003","B NORDICOS","S/N","","BOSQUES DEL VALLE"
"13211004","BOSQUES NORDICOS","329","","BOSQUES DEL VALLE"
"13211005","BOSQUES NORDICOS","310","","BOSQUES DEL VALLE"
"13211006","B NORDICOS L6 M211 B VALLE","","",""
"13211007","B NORDICOS OTE L7 M211","","","BOSQ DEL VALLE"
"13211008","BOSQUES NORDICOS","325","","BOSQUES DEL VALLE"
"13211009","BOSQUES NORDICOS","327","","BOSQUES DEL VALLE"
"13211010","B NORDICOS","329","","BOSQUES DEL VALLE"
"13211011","BOSQUES NORDICOS 331","","","BOSQUES DEL VALLE"
"13211012","BOSQUES NORDICOS","333","","BOSQUES DEL VALLE 1"
"13211013","BOSQUES NORDICOS 335 BOSQ DEL VALLE","","",""
"13211014","BOSQUES NORDICOS 337","","","BOSQUES DEL VALLE"
"13211015","BOSQUES DE VIENA","750","","BOSQ DEL VALLE 5øSEC"
"13212001","GRANATE","114","","VILLA DEL PEDREGAL"
"13212002","GRANATE","112","","VALLE DEL PEDREGAL"
"13212003","GRANATE 110","","","VILLA DEL PEDREGAL"
"13212004","GRANATE 108","","","VILLA DEL PEDREGAL"
"13212005","GRANATE","106","","VILLAS DEL PEDREGAL"
"13212006","GRANATE","104","","VALLE DEL PEDREGAL"
"13212007","DIAMANTE 102 V DEL PEDREGAL","","",""
"13212008","DIAMANTE","110","","VILLA PEDREGAL"
"13212009","DIAMANTE","112","","VALLE DEL PEDREGAL"
"13212010","DIAMANTE","114","","VILLA DEL PEDREGAL"
"13212011","CORAL","103","","V DEL PEDREGAL"
"13212012","CORAL","103","","PEDREGAL DEL VALLE"
"13212013","CORAL 105","","","VILLA DEL PEDREGAL"
"13212014","CORAL L 14 M 212","","",""
"13212015","CORAL","109","","VILLAS DEL PEDREGAL"
"13212016","CORAL","109","A","V DEL PEDREGAL"
"13212017","CORAL","113","","VILLA DEL PEDREGAL"
"13212018","CORAL","115","","VILLAS DEL PEDREGAL"
"13212019","CORAL","117","","VILLA DEL PEDREGAL"
"13212021","GRANATE","104","","VILLAS DEL PEDREGAL"
"13213001","CORAL","100","","VILLA DEL PEDREGAL"
"13213002","CORAL","102","","VILLA DEL PEDREGAL"
"13213003","CORAL","108","","VILLAS DEL PEDREGAL"
"13213005","CORAL","110","","VILLAS DEL PEDREGAL"
"13213006","CORAL","112","","VILLA DEL PEDREGAL"
"13213007","CORAL L 7 M 213","","","VALLE DEL PEDREGAL"
"13213008","CORAL L 8 M 213","","","V PEDREGAL"
"13213010","CORAL L 10 M 213","","",""
"13214001","BRILLANTE","L1 M214","","VILLA DEL PEDREGAL"
"13214002","DIAMANTE 103","","","V DEL PEDREGAL"
"13214003","DIAMANTE","105","","VALLE DEL PEDREGAL"
"13214004","DIAMANTE","107","","VILLA DEL PEDREGAL"
"13214005","DIAMANTE","109","","VILLA DEL PEDREGAL"
"13214006","DIAMANTE 111","","","PEDREGAL DEL VALLE"
"13214007","DIAMANTE","113","","VILLA DEL PEDREGAL"
"13214008","DIAMANTE","115","","VILLA DEL PEDREGAL"
"13214009","DIAMANTE","117","","VILLAS DEL PEDREGAL"
"13214010","DIAMANTE 119 V DEL PEDREGAL","","",""
"13214011","DIAMANTE 121","","","VALLE DEL PEDREGAL"
"13214012","DIAMANTE","123","","VILLA DEL PEDREGAL"
"13214014","DIAMANTE","127","","VILLA DEL PEDREGAL"
"13214015","OLIVOS","140","","COLONIAL DE LA SIERR"
"13214018","OLIVOS","L18 M214","","COLONIAL DE LA S"
"13214019","OLIVOS","L19 M214","","COLONIAL LA SIERRA"
"13214020","OLIVOS","S/N","",""
"13214021","OLIVOS","134","","C LA SIERRA"
"13214022","OLIVOS","S/N","","COLONIAL LA SIERRA"
"13214023","OLIVOS","130","","DE LA SIERRA"
"13214024","OLIVOS","128","","COLINAS DE LA SIERRA"
"13214025","OLIVOS L25 M214","","",""
"13214026","OLIVOS","L26 M214","","COLONIAL LA SIERRA"
"13214027","OLIVOS","122","","COLONIAL DE LA SIERR"
"13214029","OLIVOS","118","","COLONIAL LA SIERRA"
"13214030","OLIVOS","114","","COLONIAL LA SIERRA"
"13214031","OLIVOS 112","","","COLONIAL LA SIERRA"
"13214033","OLIVOS","110","","COLONIAL LA SIERRA"
"13214034","OLIVOS L34 M214","","","COLONIAL DE LA SIERR"
"13214035","COLONIAL DE LA SIERRA 300","","",""
"13214036","COLONIAL DE LA SIERRA 302","","","COLONIAL DE LA SIERR"
"13214037","CEREZOS","403","","COLONIAL LA SIERRA"
"13214038","CEREZOS 401","","","COLONIAL LA SIERRA"
"13214039","BRILLANTES Y PALMAS","","","COLONIAL LA SIERRA"
"13214040","BRILLANTE","117","","VILLA DE PEDREGAL"
"13214041","DIAMANTE","101","","VILLA DEL PEDREGAL"
"13221001","SIERRA DEL VALLE","L1 M221","","SIERRA DEL VALLE"
"13221002","SIERRA DEL VALLE","105","","SIERRA DEL VALLE"
"13221003","S DEL VALLE","221","","RES DEL VALLE"
"13221005","S DEL VALLE","121","","S DEL VALLE"
"13221006","SIERRA BAJA","123","","SIERRA DEL VALLE"
"13221010","S BAJA","L10 M221","","RES SIERRA DEL VALL"
"13221011","SIERRA BAJA","133","","SIERRA DEL VALLE"
"13221013","S BAJA RES S VALLE","","",""
"13221014","SIERRA BAJA L 14 M 221","","",""
"13221015","SIERRA BAJA","S/N","","SIERRA DEL VALLE"
"13221016","SIERRA DEL VALLE","","",""
"13221017","S NEVADA Y PRIV S DEL VALLE","113","E","LOMAS DEL VALLE"
"13221018","SIERRA NEVADA","113","F","SIERRA DEL VALLE"
"13221019","SIERRA NEVADA","113","F","SIERRA DEL VALLE"
"13221020","SIERRA NEVADA","113","","SIERRAS DEL VALLE"
"13221021","SIERRA DEL VALLE 113-A","","","LOMAS DEL VALLE"
"13221022","PRIVADA","113","B","LOMAS DEL VALLE"
"13221023","PRIVADA L III","","","LOMAS DEL VALLE"
"13221024","PROL SIERRA NEVADA","","","BALCONES DEL VALLE"
"13221025","PROL SIERRA NEVADA","","","BALCONES DEL VALLE"
"13221026","PROL SIERRA NEVADA","","","BALCONES DEL VALLE"
"13221027","PROL SIERRA NEVADA","","","BALCONES DEL VALLE"
"13221029","SIERRA NEVADA","373","","BALCONES DEL VALLE"
"13221030","PRIV SIERRA NEVADA","375","D","BALCONES DEL VALLE"
"13221031","PRIV SIERRA NEVADA","375","C","BALCONES DEL VALLE"
"13221032","PRIV SIERRA NEVADA 375-F","","","BALCONES DEL VALLE"
"13221033","PRIV SIERRA NEVADA","375","G","BALCONES DEL VALLE"
"13221034","PRIV SIERRA NEVADA","375","H","BALCONES DEL VALLE"
"13221035","PRIV SIERRA NEVADA","375","I","BALCONES DEL VALLE"
"13221036","PRIV SIERRA NEVADA 375-J","","","BALCONES DEL VALLE"
"13221037","PRIV SIERRA NEVADA","37","","BALCONES DEL VALLE"
"13221038","SIERRA NEVADA","377","","BALCONES DEL VALLE"
"13221039","SIERRA NEVADA","","","BALCONES DEL VALLE"
"13221040","SIERRA NEVADA","L-40 M-221","","BALC DEL VALLE"
"13221050","PRIVADA SIERRA NEVADA","L50 M221","AM 2","BALCONES DEL VALLE"
"13221051","SIERRA NEVADA","L51 M221","AM 3","BALCONES DE VALLE"
"13221127","SIERRA BAJA","129","D-1","SIERRA DEL VALLE"
"13221128","SIERRA BAJA","129","D-2","SIERRA DEL VALLE"
"13221129","SIERRA BAJA","129","D-3","SIERRA DEL VALLE"
"13221130","SIERRA BAJA","129","D 4","SIERRA DEL VALLE"
"13221131","SIERRA BAJA","129","D-5","SIERRA DEL VALLE"
"13221132","SIERRA BAJA","129","D 6","SIERRA DEL VALLE"
"13221133","SIERRA BAJA","129","D-7","SIERRA DEL VALLE"
"13221134","SIERRA BAJA","135","1","SIERRA DEL VALLE"
"13221135","SIERRA BAJA","135","2","SIERRA DEL VALLE"
"13221136","SIERRA BAJA","135","3","SIERRA DEL VALLE"
"13221137","SIERRA BAJA","135","4","SIERRA DEL VALLE"
"13221138","SIERRA BAJA","135","5","SIERRA DEL VALLE"
"13221139","SIERRA BAJA","135","6","SIERRA DEL VALLE"
"13221140","SIERRA BAJA","S/N","","SIERRA DEL VALLE"
"13221141","SIERRA BAJA","S/N","","SIERRA DEL VALLE"
"13221142","SIERRA BAJA","S/N","","SIERRA DEL VALLE"
"13221143","SIERRA BAJA","S/N","","SIERRA DEL VALLE"
"13221144","SIERRA BAJA","S/N","","SIERRA DEL VALLE"
"13221145","SIERRA BAJA","S/N","","SIERRA DEL VALLE"
"13221147","SIERRA BAJA","127","A","RESID SIERRA DEL VAL"
"13221148","SIERRA BAJA","127","B","RESID SIERRA DEL VAL"
"13221149","SIERRA BAJA","127","C","RESID SIERRA DEL VAL"
"13221150","SIERRA BAJA","127","D","RESID SIERRA DEL VAL"
"13221151","SIERRA BAJA","127","E","RESID SIERRA DEL VAL"
"13221152","SIERRA BAJA","127","F","RESID SIERRA DEL VAL"
"13221153","SIERRA BAJA","127","G","RESID SIERRA DEL VAL"
"13221159","SIERRA DEL VALLE","113","DEPTO 1","SIERRA DEL VALLE"
"13221160","SIERRA DEL VALLE","113","DEPTO 2","SIERRA DEL VALLE"
"13221161","SIERRA DEL VALLE","113","DEPTO 3","SIERRA DEL VALLE"
"13221162","SIERRA DEL VALLE","113","DEPTO 4","SIERRA DEL VALLE"
"13221163","SIERRA DEL VALLE","113","DEPTO 5","SIERRA DEL VALLE"
"13221164","SIERRA DEL VALLE","113","DEPTO 6","SIERRA DEL VALLE"
"13221166","SIERRA NEVADA","369 1","L1","BALCONES DEL VALLE"
"13221167","SIERRA NEVADA","369 2","L2","BALCONES DEL VALLE"
"13221168","SIERRA NEVADA","369 3","L3","BALCONES DEL VALLE"
"13221169","SIERRA NEVADA","369 4","L4","BALCONES DEL VALLE"
"13221170","SIERRA NEVADA","369 5","L5","BALCONES DEL VALLE"
"13221171","SIERRA NEVADA","369 6","L6","BALCONES DEL VALLE"
"13222001","S VALLE","101","","SIERRA DEL VALLE"
"13223001","SIERRA CHICA L1M223","","","SIERRA DEL VALLE"
"13223003","SIERA DEL VALLE L3 M223","","","SIERRA DEL VALLE"
"13223004","SIERRA DEL VALLE 223","","","SIERRA DEL VALLE"
"13223005","SIERRA DEL VALLE L5 M223","","","SIERRA DEL VALLE"
"13223006","S DEL VALLE L6 M223","","","SIERRA DEL VALLE"
"13223007","SIERRA ALTA","208","","S DEL VALLE"
"13223008","SIERRA ALTA","177","","R SIERRA DEL VALLE"
"13223009","SIERRA ALTA","121","","SIERRA DEL VALLE"
"13223010","S DEL VALLE FRACC S DEL VAL","","",""
"13224001","SIERRA DEL VALLE","L1","","SIERRA DEL VALLE"
"13224002","SIERRA BAJA","126","","SIERRA DEL VALLE"
"13224003","SIERRA BAJA","L1","","SIERRA DEL VALLE"
"13224004","SIERRA BAJA 114","","","SIERRA DEL VALLE"
"13224005","SIERRA BAJA","198","","SIERRA DEL VALLE"
